[MCNA] -> Loss: 0.15930145978927612 | Accuracy: 0.9622886180877686
[MCA-v1-150x150] -> Loss: 0.1451917439699173 | Accuracy: 0.9653121829032898
[MCA-v1-150x150-spe] -> Loss: 0.11931106448173523 | Accuracy: 0.9664086103439331
[MCA-v1-224x224] -> Loss: 0.12845198810100555 | Accuracy: 0.9661760330200195
[MCA-v1-224x224-spe] -> Loss: 0.1336800754070282 | Accuracy: 0.9618234634399414
[MCA-v2-150x150] -> Loss: 0.13064345717430115 | Accuracy: 0.9601621627807617
[MCA-v2-150x150-spe] -> Loss: 0.14184758067131042 | Accuracy: 0.9592982530593872
[MCA-v2-224x224] -> Loss: 0.1159348413348198 | Accuracy: 0.9655115008354187
[MCA-v2-224x224-spe] -> Loss: 0.11454945802688599 | Accuracy: 0.9657440781593323
[VGG16] -> Loss: 6.463560104370117 | Accuracy: 0.8833438754081726
[InceptionV3_TL] -> Loss: 0.048079464584589005 | Accuracy: 0.9874405860900879
